Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
w10132114SF,wg7wjum23s,"Mediated JOLs",1,1,2024-02-18T22:15:27+00:00,6.2609939575195,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,6131,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,2,2024-02-18T22:15:31+00:00,3.5542550086975,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,,,,,,0,Instruct,User,-,"You will now begin. Press Enter when you are ready to begin.",,Instruct16,3403,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,3,2024-02-18T22:15:33+00:00,1.6846361160278,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,DAYS,WEAKS,BUFFER3,Buffer,1,6,Study,User,-,,Study/JOL,BUFFER,1542,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,4,2024-02-18T22:15:34+00:00,1.280298948288,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,OCTOBER,SPOOKY,BUFFER3,Buffer,5,3,Study,User,-,,Study/JOL,BUFFER,1137,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,5,2024-02-18T22:15:35+00:00,1.0297038555145,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,MONTH,YEAR,BUFFER3,Buffer,2,2,Study,User,-,,Study/JOL,BUFFER,877,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,6,2024-02-18T22:15:36+00:00,0.98187518119812,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,TOOL,SHED,BUFFER3,Buffer,3,4,Study,User,-,,Study/JOL,BUFFER,841,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,7,2024-02-18T22:15:37+00:00,0.71170997619629,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SPRING,MARCH,BUFFER3,Buffer,4,5,Study,User,-,,Study/JOL,BUFFER,571,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,8,2024-02-18T22:15:39+00:00,1.9692459106445,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,CHERRY,RED,Study2,F,25,24,Study,User,-,,Study/JOL,"Study Phase",1822,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,9,2024-02-18T22:15:40+00:00,1.1096959114075,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,STRONG,ACCIDENT,Study2,U,39,9,Study,User,-,,Study/JOL,"Study Phase",962,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,10,2024-02-18T22:15:41+00:00,1.2582311630249,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,CASH,LEG,Study2,U,50,11,Study,User,-,,Study/JOL,"Study Phase",1118,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,11,2024-02-18T22:15:42+00:00,0.70685505867004,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,VALLEY,PEAK,Study2,M,18,43,Study,User,-,,Study/JOL,"Study Phase",557,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,12,2024-02-18T22:15:42+00:00,0.60254383087158,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SUMMER,SNOW,Study2,M,6,41,Study,User,-,,Study/JOL,"Study Phase",459,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,13,2024-02-18T22:15:43+00:00,1.0635371208191,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,TRAP,CAVE,Study2,M,15,29,Study,User,-,,Study/JOL,"Study Phase",906,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,14,2024-02-18T22:15:44+00:00,1.0082290172577,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SOAP,DRINK,Study2,M,12,35,Study,User,-,,Study/JOL,"Study Phase",861,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,15,2024-02-18T22:15:48+00:00,3.6133909225464,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,PUSH,CLUTTER,Study2,U,41,46,Study,User,-,,Study/JOL,"Study Phase",3478,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,16,2024-02-18T22:15:51+00:00,3.1252920627594,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,CACTUS,PLANT,Study2,F,21,25,Study,User,-,,Study/JOL,"Study Phase",2985,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,17,2024-02-18T22:15:52+00:00,1.1629519462585,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,HAPPY,CAR,Study2,U,37,38,Study,User,-,,Study/JOL,"Study Phase",1020,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,18,2024-02-18T22:15:53+00:00,0.93737602233887,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SCHOOL,STOP,Study2,M,7,23,Study,User,-,,Study/JOL,"Study Phase",790,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,19,2024-02-18T22:15:54+00:00,0.59704494476318,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,DOCUMENT,PAPER,Study2,F,27,26,Study,User,-,,Study/JOL,"Study Phase",449,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,20,2024-02-18T22:15:55+00:00,0.81957411766052,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,BRIDGE,WATER,Study2,F,35,10,Study,User,-,,Study/JOL,"Study Phase",672,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,21,2024-02-18T22:15:55+00:00,0.7994339466095,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,BENCH,HORN,Study2,U,43,31,Study,User,-,,Study/JOL,"Study Phase",657,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,22,2024-02-18T22:15:56+00:00,0.92480397224426,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,ARTERY,BRONZE,Study2,U,48,28,Study,User,-,,Study/JOL,"Study Phase",777,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,23,2024-02-18T22:15:57+00:00,0.89864993095398,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,ART,WOLF,Study2,U,38,8,Study,User,-,,Study/JOL,"Study Phase",751,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,24,2024-02-18T22:15:58+00:00,0.65538597106934,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,WASP,BUG,Study2,F,34,33,Study,User,-,,Study/JOL,"Study Phase",512,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,25,2024-02-18T22:15:59+00:00,1.0689241886139,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,KING,VASE,Study2,U,36,19,Study,User,-,,Study/JOL,"Study Phase",916,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,26,2024-02-18T22:16:00+00:00,1.018994808197,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,BLAZE,FIRE,Study2,F,26,22,Study,User,-,,Study/JOL,"Study Phase",863,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,27,2024-02-18T22:16:01+00:00,0.97511410713196,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,OVEN,BASKET,Study2,M,16,45,Study,User,-,,Study/JOL,"Study Phase",813,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,28,2024-02-18T22:16:05+00:00,3.8445611000061,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,RAZOR,MUSCLE,Study2,M,20,16,Study,User,-,,Study/JOL,"Study Phase",3701,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,29,2024-02-18T22:16:06+00:00,0.99238896369934,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,CHISEL,HAMMER,Study2,F,23,18,Study,User,-,,Study/JOL,"Study Phase",835,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,30,2024-02-18T22:16:07+00:00,1.0009348392487,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,BOTH,OUNCE,Study2,U,47,49,Study,User,-,,Study/JOL,"Study Phase",856,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,31,2024-02-18T22:16:08+00:00,1.0330460071564,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,LEASE,TOIL,Study2,U,46,51,Study,User,-,,Study/JOL,"Study Phase",894,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,32,2024-02-18T22:16:09+00:00,1.4035050868988,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,HORNET,STING,Study2,F,30,34,Study,User,-,,Study/JOL,"Study Phase",1257,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,33,2024-02-18T22:16:10+00:00,0.57872605323792,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,EYES,SMELL,Study2,M,10,39,Study,User,-,,Study/JOL,"Study Phase",434,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,34,2024-02-18T22:16:11+00:00,0.93738102912903,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,DEATH,BUSINESS,Study2,U,44,37,Study,User,-,,Study/JOL,"Study Phase",793,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,35,2024-02-18T22:16:14+00:00,2.9675989151001,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,MIRROR,CHILDREN,Study2,U,49,14,Study,User,-,,Study/JOL,"Study Phase",2821,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,36,2024-02-18T22:16:15+00:00,0.92961692810059,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,CHILL,COLD,Study2,F,32,50,Study,User,-,,Study/JOL,"Study Phase",786,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,37,2024-02-18T22:16:15+00:00,0.60781311988831,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SICK,HIDE,Study2,U,45,17,Study,User,-,,Study/JOL,"Study Phase",459,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,38,2024-02-18T22:16:16+00:00,0.95292186737061,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,NURSE,LAWYER,Study2,M,11,44,Study,User,-,,Study/JOL,"Study Phase",809,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,39,2024-02-18T22:16:17+00:00,0.61202216148376,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,LEAGUE,BASEBALL,Study2,F,29,40,Study,User,-,,Study/JOL,"Study Phase",458,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,40,2024-02-18T22:16:17+00:00,0.64689898490906,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,CHOP,CUT,Study2,F,22,15,Study,User,-,,Study/JOL,"Study Phase",491,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,41,2024-02-18T22:16:18+00:00,0.71726202964783,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,ATTIRE,CLOTHES,Study2,F,24,21,Study,User,-,,Study/JOL,"Study Phase",574,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,42,2024-02-18T22:16:19+00:00,0.68132495880127,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,FEUD,FIGHT,Study2,F,31,27,Study,User,-,,Study/JOL,"Study Phase",543,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,43,2024-02-18T22:16:20+00:00,0.63972401618958,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,HERD,COW,Study2,F,33,47,Study,User,-,,Study/JOL,"Study Phase",503,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,44,2024-02-18T22:16:20+00:00,0.62530994415283,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,HEAVY,FEATHER,Study2,M,13,48,Study,User,-,,Study/JOL,"Study Phase",482,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,45,2024-02-18T22:16:21+00:00,0.99069905281067,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,RAKE,SEED,Study2,M,14,42,Study,User,-,,Study/JOL,"Study Phase",854,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,46,2024-02-18T22:16:22+00:00,1.0214529037476,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SUGAR,RIDDLE,Study2,U,40,7,Study,User,-,,Study/JOL,"Study Phase",871,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,47,2024-02-18T22:16:23+00:00,0.98246097564697,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,INCENSE,SMELL,Study2,F,28,36,Study,User,-,,Study/JOL,"Study Phase",839,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,48,2024-02-18T22:16:24+00:00,0.96702194213867,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,GRILL,THIGH,Study2,M,17,12,Study,User,-,,Study/JOL,"Study Phase",827,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,49,2024-02-18T22:16:25+00:00,1.0488040447235,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,DIETARY,SACK,Study2,U,42,20,Study,User,-,,Study/JOL,"Study Phase",913,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,50,2024-02-18T22:16:29+00:00,3.904659986496,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,PANTS,COLLAR,Study2,M,8,13,Study,User,-,,Study/JOL,"Study Phase",3575,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,51,2024-02-18T22:16:30+00:00,0.9961199760437,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,WINDOW,KNOB,Study2,M,19,30,Study,User,-,,Study/JOL,"Study Phase",833,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,52,2024-02-18T22:16:31+00:00,1.1395571231842,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,REALITY,ISLAND,Study2,M,9,32,Study,User,-,,Study/JOL,"Study Phase",988,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,53,2024-02-18T22:16:34+00:00,3.2342669963837,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SCARE,FRIGHT,BUFFER1,Buffer,59,60,Study,User,-,,Study/JOL,BUFFER2,3086,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,54,2024-02-18T22:16:36+00:00,1.1671140193939,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,MOON,SPACE,BUFFER2,Buffer,109,109,Study,User,-,,Study/JOL,BUFFER2,1015,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,55,2024-02-18T22:16:37+00:00,0.99874305725098,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SHRIMP,FISH,BUFFER4,Buffer,53,53,Study,User,-,,Study/JOL,BUFFER2,847,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,56,2024-02-18T22:16:40+00:00,3.2594568729401,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,GEESE,GOOSE,BUFFER2,Buffer,106,111,Study,User,-,,Study/JOL,BUFFER2,3122,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,57,2024-02-18T22:16:41+00:00,1.1444180011749,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,THING,STUFF,BUFFER2,Buffer,110,110,Study,User,-,,Study/JOL,BUFFER2,989,,,-1,-1,,,,1
w10132114SF,wg7wjum23s,"Mediated JOLs",1,58,2024-02-18T22:16:42+00:00,1.4175181388855,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,,,,,,0,Instruct,User,-,"You have completed this section. Please press Enter.",Filler_Instruction,Instruct2,1274,,,-1,-1,,,,1
