Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
10180633GS,gqawl2u0gj,"Mediated JOLs",1,1,2024-09-08T20:55:22+00:00,130.14563798904,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,129938,,,-1,-1,,,,1
10180633GS,gqawl2u0gj,"Mediated JOLs",1,2,2024-09-08T20:55:24+00:00,1.3878049850464,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,,,,,,0,Instruct,User,-,"You will now begin. Press Enter when you are ready to begin.",,Instruct16,1215,,,-1,-1,,,,1
10180633GS,gqawl2u0gj,"Mediated JOLs",1,3,2024-09-08T20:55:27+00:00,2.9446392059326,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,TOOL,SHED,BUFFER3,Buffer,3,3,Study,User,-,,Study/JOL,BUFFER,2786,,,-1,-1,,,,1
10180633GS,gqawl2u0gj,"Mediated JOLs",1,4,2024-09-08T20:55:29+00:00,2.7532207965851,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,DAYS,WEAKS,BUFFER3,Buffer,1,4,Study,User,-,,Study/JOL,BUFFER,2635,,,-1,-1,,,,1
10180633GS,gqawl2u0gj,"Mediated JOLs",1,5,2024-09-08T20:55:31+00:00,1.2657160758972,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,MONTH,YEAR,BUFFER3,Buffer,2,5,Study,User,-,,Study/JOL,BUFFER,1140,,,-1,-1,,,,1
10180633GS,gqawl2u0gj,"Mediated JOLs",1,6,2024-09-08T20:55:32+00:00,1.1118330955505,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SPRING,MARCH,BUFFER3,Buffer,4,2,Study,User,-,,Study/JOL,BUFFER,997,,,-1,-1,,,,1
10180633GS,gqawl2u0gj,"Mediated JOLs",1,7,2024-09-08T20:55:33+00:00,1.0482108592987,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,OCTOBER,SPOOKY,BUFFER3,Buffer,5,6,Study,User,-,,Study/JOL,BUFFER,934,,,-1,-1,,,,1
10180633GS,gqawl2u0gj,"Mediated JOLs",1,8,2024-09-08T20:55:35+00:00,2.018963098526,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,MIRROR,CHILDREN,Study2,U,49,19,Study,User,-,,Study/JOL,"Study Phase",1909,,,-1,-1,,,,1
10180633GS,gqawl2u0gj,"Mediated JOLs",1,9,2024-09-08T20:55:36+00:00,1.0998959541321,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,HAPPY,CAR,Study2,U,37,39,Study,User,-,,Study/JOL,"Study Phase",984,,,-1,-1,,,,1
10180633GS,gqawl2u0gj,"Mediated JOLs",1,10,2024-09-08T20:55:37+00:00,1.483048915863,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,LAWYER,NURSE,Study2,M,11,16,Study,User,-,,Study/JOL,"Study Phase",1367,,,-1,-1,,,,1
10180633GS,gqawl2u0gj,"Mediated JOLs",1,11,2024-09-08T20:55:39+00:00,1.5751311779022,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,LEASE,TOIL,Study2,U,46,25,Study,User,-,,Study/JOL,"Study Phase",1462,,,-1,-1,,,,1
10180633GS,gqawl2u0gj,"Mediated JOLs",1,12,2024-09-08T20:55:40+00:00,1.4637308120728,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,DOCUMENT,PAPER,Study2,F,27,18,Study,User,-,,Study/JOL,"Study Phase",1344,,,-1,-1,,,,1
10180633GS,gqawl2u0gj,"Mediated JOLs",1,13,2024-09-08T20:55:43+00:00,2.6633322238922,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,CHILL,COLD,Study2,F,32,42,Study,User,-,,Study/JOL,"Study Phase",2539,,,-1,-1,,,,1
10180633GS,gqawl2u0gj,"Mediated JOLs",1,14,2024-09-08T20:55:48+00:00,4.4615099430084,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,CACTUS,PLANT,Study2,F,21,47,Study,User,-,,Study/JOL,"Study Phase",4347,,,-1,-1,,,,1
10180633GS,gqawl2u0gj,"Mediated JOLs",1,15,2024-09-08T20:55:49+00:00,1.3976368904114,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,FEUD,FIGHT,Study2,F,31,43,Study,User,-,,Study/JOL,"Study Phase",1280,,,-1,-1,,,,1
10180633GS,gqawl2u0gj,"Mediated JOLs",1,16,2024-09-08T20:55:50+00:00,1.4400200843811,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,BRIDGE,WATER,Study2,F,35,14,Study,User,-,,Study/JOL,"Study Phase",1326,,,-1,-1,,,,1
10180633GS,gqawl2u0gj,"Mediated JOLs",1,17,2024-09-08T20:55:52+00:00,1.5579929351807,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SMELL,EYES,Study2,M,10,30,Study,User,-,,Study/JOL,"Study Phase",1446,,,-1,-1,,,,1
10180633GS,gqawl2u0gj,"Mediated JOLs",1,18,2024-09-08T20:55:54+00:00,2.2139840126038,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,KNOB,WINDOW,Study2,M,19,9,Study,User,-,,Study/JOL,"Study Phase",2102,,,-1,-1,,,,1
10180633GS,gqawl2u0gj,"Mediated JOLs",1,19,2024-09-08T20:55:56+00:00,1.4529120922089,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SUGAR,RIDDLE,Study2,U,40,15,Study,User,-,,Study/JOL,"Study Phase",1342,,,-1,-1,,,,1
