Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
W10097113_SML,93xqttcinp,"Mediated JOLs",1,1,2024-09-17T02:46:32+00:00,38.977891206741,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,36983,,,-1,-1,,,,1
W10097113_SML,93xqttcinp,"Mediated JOLs",1,2,2024-09-17T02:46:55+00:00,22.621063947678,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,,,,,,0,Instruct,User,-,"You will now begin. Press Enter when you are ready to begin.",,Instruct16,22489,,,-1,-1,,,,1
W10097113_SML,93xqttcinp,"Mediated JOLs",1,3,2024-09-17T02:46:58+00:00,3.163635969162,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,TREES,GREEN,BUFFER1,Buffer,1,3,Study,User,-,,Study/JOL,BUFFER,2929,,,-1,-1,,,,1
W10097113_SML,93xqttcinp,"Mediated JOLs",1,4,2024-09-17T02:46:59+00:00,1.5099868774414,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,PITCHER,CATCHER,BUFFER1,Buffer,2,6,Study,User,-,,Study/JOL,BUFFER,1266,,,-1,-1,,,,1
W10097113_SML,93xqttcinp,"Mediated JOLs",1,5,2024-09-17T02:47:29+00:00,30.086470127106,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,SCARE,FRIGHT,BUFFER1,Buffer,4,2,Study,User,-,,Study/JOL,BUFFER,29970,,,-1,-1,,,,1
W10097113_SML,93xqttcinp,"Mediated JOLs",1,6,2024-09-17T02:47:53+00:00,23.907592058182,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,PEANUT,BUTTER,BUFFER1,Buffer,3,5,Study,User,-,,Study/JOL,BUFFER,23683,,,-1,-1,,,,1
W10097113_SML,93xqttcinp,"Mediated JOLs",1,7,2024-09-17T02:48:02+00:00,8.3571438789368,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,SPACE,JAM,BUFFER1,Buffer,5,4,Study,User,-,,Study/JOL,BUFFER,8091,,,-1,-1,,,,1
W10097113_SML,93xqttcinp,"Mediated JOLs",1,8,2024-09-17T02:48:03+00:00,1.7776899337769,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,TEMPERATURE,MORNING,Study1,U,48,46,Study,User,-,,Study/JOL,"Study Phase",1496,,,-1,-1,,,,1
W10097113_SML,93xqttcinp,"Mediated JOLs",1,9,2024-09-17T02:48:06+00:00,2.2608230113983,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,NAP,SLEEP,Study1,F,29,35,Study,User,-,,Study/JOL,"Study Phase",2035,,,-1,-1,,,,1
W10097113_SML,93xqttcinp,"Mediated JOLs",1,10,2024-09-17T02:48:07+00:00,1.2292261123657,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,BOX,BEACH,Study1,M,7,38,Study,User,-,,Study/JOL,"Study Phase",1031,,,-1,-1,,,,1
