Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
w10161911MW,hmv7h3zdf4,"Mediated JOLs",1,1,2023-09-12T22:39:19+00:00,6.3722319602966,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,6259,,,-1,-1,,,,1
w10161911MW,hmv7h3zdf4,"Mediated JOLs",1,2,2023-09-12T22:39:29+00:00,9.534126996994,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,,,,,,0,Instruct,User,-,"You will now begin. Press Enter when you are ready to begin.",,Instruct16,9377,,,-1,-1,,,,1
w10161911MW,hmv7h3zdf4,"Mediated JOLs",1,3,2023-09-12T22:39:37+00:00,7.6005899906158,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,OCTOBER,SPOOKY,BUFFER3,Buffer,5,5,Study,User,-,,Study/JOL,BUFFER,7435,,,-1,-1,,,,1
w10161911MW,hmv7h3zdf4,"Mediated JOLs",1,4,2023-09-12T22:39:49+00:00,12.044521093369,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,DAYS,WEAKS,BUFFER3,Buffer,1,6,Study,User,-,,Study/JOL,BUFFER,11885,,,-1,-1,,,,1
w10161911MW,hmv7h3zdf4,"Mediated JOLs",1,5,2023-09-12T22:39:53+00:00,3.9333298206329,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,MONTH,YEAR,BUFFER3,Buffer,2,4,Study,User,-,,Study/JOL,BUFFER,3804,,,-1,-1,,,,1
w10161911MW,hmv7h3zdf4,"Mediated JOLs",1,6,2023-09-12T22:39:59+00:00,6.873064994812,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SPRING,MARCH,BUFFER3,Buffer,4,3,Study,User,-,,Study/JOL,BUFFER,6712,,,-1,-1,,,,1
w10161911MW,hmv7h3zdf4,"Mediated JOLs",1,7,2023-09-12T22:40:04+00:00,5.0568242073059,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,TOOL,SHED,BUFFER3,Buffer,3,2,Study,User,-,,Study/JOL,BUFFER,4893,,,-1,-1,,,,1
w10161911MW,hmv7h3zdf4,"Mediated JOLs",1,8,2023-09-12T22:40:11+00:00,6.2197589874268,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,THIGH,GRILL,Study2,M,17,40,Study,User,-,,Study/JOL,"Study Phase",6051,,,-1,-1,,,,1
w10161911MW,hmv7h3zdf4,"Mediated JOLs",1,9,2023-09-12T22:40:17+00:00,6.5355858802795,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,COLLAR,PANTS,Study2,M,8,7,Study,User,-,,Study/JOL,"Study Phase",6370,,,-1,-1,,,,1
w10161911MW,hmv7h3zdf4,"Mediated JOLs",1,10,2023-09-12T22:40:23+00:00,5.453516960144,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,DRINK,SOAP,Study2,M,12,14,Study,User,-,,Study/JOL,"Study Phase",5280,,,-1,-1,,,,1
