Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
M20283871,3pj93gi0wg,"Mediated JOLs",1,1,2024-09-10T22:16:53+00:00,7.5312240123749,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,7047,,,-1,-1,,,,1
M20283871,3pj93gi0wg,"Mediated JOLs",1,2,2024-09-10T22:17:02+00:00,9.2139739990234,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,,,,,,0,Instruct,User,-,"You will now begin. Press Enter when you are ready to begin.",,Instruct16,5542,,,-1,-1,,,,1
M20283871,3pj93gi0wg,"Mediated JOLs",1,3,2024-09-10T22:17:12+00:00,10.110222101212,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,DAYS,WEAKS,BUFFER3,Buffer,1,5,Study,User,-,,Study/JOL,BUFFER,7821,,,-1,-1,,,,1
M20283871,3pj93gi0wg,"Mediated JOLs",1,4,2024-09-10T22:17:14+00:00,1.6006760597229,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,MONTH,YEAR,BUFFER3,Buffer,2,6,Study,User,-,,Study/JOL,BUFFER,845,,,-1,-1,,,,1
M20283871,3pj93gi0wg,"Mediated JOLs",1,5,2024-09-10T22:17:15+00:00,1.5421979427338,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,OCTOBER,SPOOKY,BUFFER3,Buffer,5,3,Study,User,-,,Study/JOL,BUFFER,1180,,,-1,-1,,,,1
M20283871,3pj93gi0wg,"Mediated JOLs",1,6,2024-09-10T22:17:17+00:00,1.2893450260162,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,TOOL,SHED,BUFFER3,Buffer,3,2,Study,User,-,,Study/JOL,BUFFER,938,,,-1,-1,,,,1
M20283871,3pj93gi0wg,"Mediated JOLs",1,7,2024-09-10T22:17:18+00:00,1.8828639984131,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SPRING,MARCH,BUFFER3,Buffer,4,4,Study,User,-,,Study/JOL,BUFFER,1129,,,-1,-1,,,,1
M20283871,3pj93gi0wg,"Mediated JOLs",1,8,2024-09-10T22:17:21+00:00,2.0613968372345,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,CHILL,COLD,Study2,F,32,40,Study,User,-,,Study/JOL,"Study Phase",1169,,,-1,-1,,,,1
M20283871,3pj93gi0wg,"Mediated JOLs",1,9,2024-09-10T22:17:22+00:00,1.1618402004242,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,CHISEL,HAMMER,Study2,F,23,26,Study,User,-,,Study/JOL,"Study Phase",810,,,-1,-1,,,,1
M20283871,3pj93gi0wg,"Mediated JOLs",1,10,2024-09-10T22:17:23+00:00,1.6038908958435,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,ART,WOLF,Study2,U,38,38,Study,User,-,,Study/JOL,"Study Phase",1241,,,-1,-1,,,,1
