Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
10186844TK,9rke27agoc,"Mediated JOLs",1,1,2024-10-10T00:49:43+00:00,6.2077782154083,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,6136,,,-1,-1,,,,1
10186844TK,9rke27agoc,"Mediated JOLs",1,2,2024-10-10T00:49:44+00:00,1.6587917804718,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,,,,,,0,Instruct,User,-,"You will now begin. Press Enter when you are ready to begin.",,Instruct16,1508,,,-1,-1,,,,1
10186844TK,9rke27agoc,"Mediated JOLs",1,3,2024-10-10T00:49:59+00:00,14.475416183472,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SPRING,MARCH,BUFFER3,Buffer,4,3,Study,User,-,,Study/JOL,BUFFER,14344,,,-1,-1,,,,1
10186844TK,9rke27agoc,"Mediated JOLs",1,4,2024-10-10T00:50:00+00:00,1.5129528045654,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,TOOL,SHED,BUFFER3,Buffer,3,6,Study,User,-,,Study/JOL,BUFFER,1384,,,-1,-1,,,,1
10186844TK,9rke27agoc,"Mediated JOLs",1,5,2024-10-10T00:50:02+00:00,1.4287102222443,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,OCTOBER,SPOOKY,BUFFER3,Buffer,5,2,Study,User,-,,Study/JOL,BUFFER,1287,,,-1,-1,,,,1
10186844TK,9rke27agoc,"Mediated JOLs",1,6,2024-10-10T00:50:03+00:00,1.3969509601593,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,DAYS,WEEKS,BUFFER3,Buffer,1,5,Study,User,-,,Study/JOL,BUFFER,1229,,,-1,-1,,,,1
10186844TK,9rke27agoc,"Mediated JOLs",1,7,2024-10-10T00:50:05+00:00,1.2292249202728,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,MONTH,YEAR,BUFFER3,Buffer,2,4,Study,User,-,,Study/JOL,BUFFER,1109,,,-1,-1,,,,1
10186844TK,9rke27agoc,"Mediated JOLs",1,8,2024-10-10T00:50:06+00:00,1.2773001194,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,BENCH,HORN,Study2,U,43,12,Study,User,-,,Study/JOL,"Study Phase",1120,,,-1,-1,,,,1
10186844TK,9rke27agoc,"Mediated JOLs",1,9,2024-10-10T00:50:07+00:00,1.4426038265228,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,HORNET,STING,Study2,F,30,22,Study,User,-,,Study/JOL,"Study Phase",1275,,,-1,-1,,,,1
10186844TK,9rke27agoc,"Mediated JOLs",1,10,2024-10-10T00:50:08+00:00,1.1028780937195,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,CHISEL,HAMMER,Study2,F,23,32,Study,User,-,,Study/JOL,"Study Phase",971,,,-1,-1,,,,1
10186844TK,9rke27agoc,"Mediated JOLs",1,11,2024-10-10T00:50:10+00:00,1.2700538635254,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SICK,HIDE,Study2,U,45,19,Study,User,-,,Study/JOL,"Study Phase",1093,,,-1,-1,,,,1
10186844TK,9rke27agoc,"Mediated JOLs",1,12,2024-10-10T00:50:11+00:00,1.2200400829315,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,PUSH,CLUTTER,Study2,U,41,46,Study,User,-,,Study/JOL,"Study Phase",1076,,,-1,-1,,,,1
10186844TK,9rke27agoc,"Mediated JOLs",1,13,2024-10-10T00:50:12+00:00,1.3158140182495,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,CASH,STUDY,Study2,U,50,50,Study,User,-,,Study/JOL,"Study Phase",1152,,,-1,-1,,,,1
