Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
w10193139SS,rtnfw8dv7q,"Mediated JOLs",1,1,2024-10-08T01:58:47+00:00,7.2461380958557,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,7165,,,-1,-1,,,,1
w10193139SS,rtnfw8dv7q,"Mediated JOLs",1,2,2024-10-08T01:58:49+00:00,2.0694060325623,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,,,,,,0,Instruct,User,-,"You will now begin. Press Enter when you are ready to begin.",,Instruct16,1924,,,-1,-1,,,,1
w10193139SS,rtnfw8dv7q,"Mediated JOLs",1,3,2024-10-08T01:58:52+00:00,2.5058739185333,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,PITCHER,CATCHER,BUFFER1,Buffer,2,4,Study,User,-,,Study/JOL,BUFFER,2360,,,-1,-1,,,,1
w10193139SS,rtnfw8dv7q,"Mediated JOLs",1,4,2024-10-08T01:58:54+00:00,2.1880660057068,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,PEANUT,BUTTER,BUFFER1,Buffer,3,3,Study,User,-,,Study/JOL,BUFFER,2039,,,-1,-1,,,,1
w10193139SS,rtnfw8dv7q,"Mediated JOLs",1,5,2024-10-08T01:58:56+00:00,2.3014829158783,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,TREES,GREEN,BUFFER1,Buffer,1,6,Study,User,-,,Study/JOL,BUFFER,2152,,,-1,-1,,,,1
w10193139SS,rtnfw8dv7q,"Mediated JOLs",1,6,2024-10-08T01:58:58+00:00,1.6273040771484,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,SCARE,FRIGHT,BUFFER1,Buffer,4,2,Study,User,-,,Study/JOL,BUFFER,1483,,,-1,-1,,,,1
w10193139SS,rtnfw8dv7q,"Mediated JOLs",1,7,2024-10-08T01:58:59+00:00,1.6062409877777,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,SPACE,JAM,BUFFER1,Buffer,5,5,Study,User,-,,Study/JOL,BUFFER,1471,,,-1,-1,,,,1
w10193139SS,rtnfw8dv7q,"Mediated JOLs",1,8,2024-10-08T01:59:01+00:00,2.2015359401703,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,CRY,BEER,Study1,M,16,44,Study,User,-,,Study/JOL,"Study Phase",2052,,,-1,-1,,,,1
w10193139SS,rtnfw8dv7q,"Mediated JOLs",1,9,2024-10-08T01:59:04+00:00,2.3560600280762,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,ROUGH,WORM,Study1,M,10,24,Study,User,-,,Study/JOL,"Study Phase",2211,,,-1,-1,,,,1
w10193139SS,rtnfw8dv7q,"Mediated JOLs",1,10,2024-10-08T01:59:05+00:00,1.4505050182343,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,TOOTH,COMB,Study1,M,19,15,Study,User,-,,Study/JOL,"Study Phase",1310,,,-1,-1,,,,1
