Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
w10185331,2blzyse70l,"Mediated JOLs",1,1,2024-11-26T23:26:58+00:00,6.5533981323242,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,6463,,,-1,-1,,,,1
w10185331,2blzyse70l,"Mediated JOLs",1,2,2024-11-26T23:27:00+00:00,1.8383870124817,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,,,,,,0,Instruct,User,-,"You will now begin. Press Enter when you are ready to begin.",,Instruct16,1629,,,-1,-1,,,,1
w10185331,2blzyse70l,"Mediated JOLs",1,3,2024-11-26T23:27:03+00:00,2.6775908470154,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,TOOL,SHED,BUFFER3,Buffer,3,3,Study,User,-,,Study/JOL,BUFFER,2487,,,-1,-1,,,,1
w10185331,2blzyse70l,"Mediated JOLs",1,4,2024-11-26T23:27:05+00:00,2.1458210945129,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,MONTH,YEAR,BUFFER3,Buffer,2,4,Study,User,-,,Study/JOL,BUFFER,1936,,,-1,-1,,,,1
w10185331,2blzyse70l,"Mediated JOLs",1,5,2024-11-26T23:27:07+00:00,2.0285539627075,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SPRING,MARCH,BUFFER3,Buffer,4,2,Study,User,-,,Study/JOL,BUFFER,1824,,,-1,-1,,,,1
w10185331,2blzyse70l,"Mediated JOLs",1,6,2024-11-26T23:27:08+00:00,1.5507271289825,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,OCTOBER,SPOOKY,BUFFER3,Buffer,5,6,Study,User,-,,Study/JOL,BUFFER,1395,,,-1,-1,,,,1
w10185331,2blzyse70l,"Mediated JOLs",1,7,2024-11-26T23:27:10+00:00,1.8013799190521,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,DAYS,WEAKS,BUFFER3,Buffer,1,5,Study,User,-,,Study/JOL,BUFFER,1642,,,-1,-1,,,,1
w10185331,2blzyse70l,"Mediated JOLs",1,8,2024-11-26T23:27:12+00:00,2.1723210811615,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,CHILL,COLD,Study2,F,32,31,Study,User,-,,Study/JOL,"Study Phase",2044,,,-1,-1,,,,1
w10185331,2blzyse70l,"Mediated JOLs",1,9,2024-11-26T23:27:14+00:00,1.4716339111328,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,MIRROR,CHILDREN,Study2,U,49,19,Study,User,-,,Study/JOL,"Study Phase",1281,,,-1,-1,,,,1
w10185331,2blzyse70l,"Mediated JOLs",1,10,2024-11-26T23:27:16+00:00,2.1604919433594,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,ART,WOLF,Study2,U,38,34,Study,User,-,,Study/JOL,"Study Phase",1952,,,-1,-1,,,,1
