Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
M20338323_cls,tnnqn6rf6p,"Mediated JOLs",1,1,2024-11-04T16:08:50+00:00,5.8299810886383,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,5715,,,-1,-1,,,,,1
M20338323_cls,tnnqn6rf6p,"Mediated JOLs",1,2,2024-11-04T16:09:01+00:00,10.671725988388,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,10524,,,-1,-1,,,,,1
M20338323_cls,tnnqn6rf6p,"Mediated JOLs",1,3,2024-11-04T16:09:12+00:00,10.580306053162,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,10432,,,-1,-1,,,,,1
M20338323_cls,tnnqn6rf6p,"Mediated JOLs",1,4,2024-11-04T16:09:35+00:00,23.066492080688,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,22928,,,-1,-1,,,,,1
M20338323_cls,tnnqn6rf6p,"Mediated JOLs",1,5,2024-11-04T16:10:02+00:00,27.333228826523,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,27191,,,-1,-1,,,,,1
M20338323_cls,tnnqn6rf6p,"Mediated JOLs",1,6,2024-11-04T16:10:07+00:00,4.8715300559998,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,TOOL,SHED,BUFFER3,Buffer,3,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,4733,,,3911,4154,,,,100,1
M20338323_cls,tnnqn6rf6p,"Mediated JOLs",1,7,2024-11-04T16:10:09+00:00,2.569235086441,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,SPRING,MARCH,BUFFER3,Buffer,4,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2421,,,1975,2195,,,,100,1
M20338323_cls,tnnqn6rf6p,"Mediated JOLs",1,8,2024-11-04T16:10:11+00:00,1.6080050468445,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,OCTOBER,SPOOKY,BUFFER3,Buffer,5,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,1442,,,955,1160,,,,100,1
M20338323_cls,tnnqn6rf6p,"Mediated JOLs",1,9,2024-11-04T16:10:13+00:00,1.6064569950104,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,MONTH,YEAR,BUFFER3,Buffer,2,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,1477,,,1034,1224,,,,100,1
M20338323_cls,tnnqn6rf6p,"Mediated JOLs",1,10,2024-11-04T16:10:15+00:00,2.3435029983521,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,DAYS,WEAKS,BUFFER3,Buffer,1,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2208,,,1697,1966,,,,100,1
