Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,1,2024-03-05T12:14:21+00:00,6.1373529434204,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,5913,,,-1,-1,,,,,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,2,2024-03-05T12:14:32+00:00,11.031602144241,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,10757,,,-1,-1,,,,,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,3,2024-03-05T12:14:49+00:00,16.8386490345,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,16539,,,-1,-1,,,,,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,4,2024-03-05T12:16:46+00:00,117.06701779366,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,116483,,,-1,-1,,,,,0.824
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,5,2024-03-05T12:16:48+00:00,1.5389981269836,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,1308,,,-1,-1,,,,,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,6,2024-03-05T12:16:55+00:00,6.7967178821564,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SPACE,JAM,BUFFER1,Buffer,5,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,6507,,,5181,5534,,,,100,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,7,2024-03-05T12:17:00+00:00,5.1219530105591,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,PITCHER,CATCHER,BUFFER1,Buffer,2,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,4599,,,3139,3501,,,,100,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,8,2024-03-05T12:17:05+00:00,4.8756830692291,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,TREES,GREEN,BUFFER1,Buffer,1,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,4591,,,3253,3646,,,,75,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,9,2024-03-05T12:17:10+00:00,5.7366399765015,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SCARE,FRIGHT,BUFFER1,Buffer,4,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,5393,,,4061,4295,,,,33,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,10,2024-03-05T12:17:15+00:00,4.5298540592194,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,PEANUT,BUTTER,BUFFER1,Buffer,3,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3914,,,2563,2945,,,,100,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,11,2024-03-05T12:17:20+00:00,5.3338549137115,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,LISTEN,FICTION,Study1,U,44,50,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",5093,,,3973,4174,,,,22,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,12,2024-03-05T12:17:28+00:00,7.3159720897675,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,DAY,DARK,Study1,M,18,27,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",7077,,,5746,6122,,,,47,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,13,2024-03-05T12:17:31+00:00,3.8409419059753,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,ORCHID,FLOWER,Study1,F,34,14,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3476,,,2362,2561,,,,66,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,14,2024-03-05T12:17:35+00:00,3.9678931236267,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SOON,BELT,Study1,U,46,8,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3714,,,2816,2816,,,,2,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,15,2024-03-05T12:17:41+00:00,5.5378530025482,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,HARD,COTTON,Study1,M,20,22,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",5046,,,2432,4303,,,,45,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,16,2024-03-05T12:17:45+00:00,3.9975469112396,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,MULE,DONKEY,Study1,F,30,21,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3583,,,2624,2819,,,,77,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,17,2024-03-05T12:17:51+00:00,5.9823751449585,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,BIRTHDAY,PIE,Study1,M,9,46,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",5177,,,4129,4410,,,,76,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,18,2024-03-05T12:17:54+00:00,3.5476589202881,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,WAGE,MONEY,Study1,F,22,10,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3270,,,2325,2477,,,,77,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,19,2024-03-05T12:17:58+00:00,4.0320498943329,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,TEMPERATURE,MORNING,Study1,U,48,25,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3582,,,2508,2788,,,,56,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,20,2024-03-05T12:18:05+00:00,6.0883591175079,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SWAN,BIRD,Study1,F,26,18,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",5706,,,4750,4933,,,,43,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,21,2024-03-05T12:18:10+00:00,5.341943025589,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,KEYS,ROD,Study1,U,45,20,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",4842,,,3575,3913,,,,43,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,22,2024-03-05T12:18:16+00:00,6.3747680187225,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,MULE,DONKEY,Study1,F,24,13,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",5832,,,4909,5053,,,,77,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,23,2024-03-05T12:18:20+00:00,3.7439608573914,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,WEDDING,FINGER,Study1,M,17,48,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3420,,,2514,2679,,,,88,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,24,2024-03-05T12:18:23+00:00,3.4161291122437,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,VEHICLE,CHARM,Study1,U,40,49,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2988,,,2242,2242,,,,3,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,25,2024-03-05T12:18:28+00:00,4.3205399513245,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,FUZZY,BANG,Study1,U,50,17,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3811,,,2275,2559,,,,45,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,26,2024-03-05T12:18:32+00:00,4.0226240158081,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,CREDIT,CARD,Study1,F,33,28,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3674,,,2694,2877,,,,99,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,27,2024-03-05T12:18:35+00:00,3.6744120121002,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,WAR,QUIET,Study1,M,8,45,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3258,,,2320,2521,,,,34,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,28,2024-03-05T12:18:40+00:00,4.1455519199371,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,ROOT,PLANT,Study1,F,25,23,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3320,,,2150,2460,,,,54,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,29,2024-03-05T12:18:44+00:00,4.0984880924225,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,TUNA,FISH,Study1,F,35,42,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3844,,,2769,3004,,,,78,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,30,2024-03-05T12:18:47+00:00,3.494726896286,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,CAKE,HAND,Study1,U,49,24,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3254,,,2270,2470,,,,32,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,31,2024-03-05T12:18:51+00:00,3.6592581272125,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,BEACH,BOX,Study1,M,7,26,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3288,,,2293,2467,,,,43,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,32,2024-03-05T12:18:55+00:00,4.1419010162354,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,TOOTH,HAIR,Study1,M,19,30,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3645,,,2663,2868,,,,22,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,33,2024-03-05T12:19:00+00:00,4.8757889270782,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,STRETCH,CLOTH,Study1,U,37,39,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3758,,,2708,2709,,,,2,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,34,2024-03-05T12:19:04+00:00,4.1003069877625,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,CEILING,CARPET,Study1,M,15,34,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3606,,,2627,2810,,,,23,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,35,2024-03-05T12:19:08+00:00,4.0321359634399,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,MIRROR,MAROON,Study1,U,36,43,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3401,,,2313,2497,,,,12,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,36,2024-03-05T12:19:12+00:00,3.5899419784546,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,TREE,SYRUP,Study1,M,11,47,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3339,,,2240,2541,,,,45,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,37,2024-03-05T12:19:16+00:00,4.6194050312042,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,CIRCLE,DANCE,Study1,M,13,38,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",4379,,,2185,2369,,,,56,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,38,2024-03-05T12:19:22+00:00,5.363137960434,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,MEAT,KEYS,Study1,U,41,29,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",5100,,,2429,4350,,,,34,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,39,2024-03-05T12:19:26+00:00,4.209655046463,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,WORD,SENTENCE,Study1,F,27,44,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3675,,,2487,2808,,,,46,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,40,2024-03-05T12:19:30+00:00,3.8307020664215,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,BAT,BOUNCE,Study1,M,12,12,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3345,,,2298,2542,,,,76,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,41,2024-03-05T12:19:35+00:00,5.8262748718262,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SHELL,SHAKE,Study1,U,43,32,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",5551,,,2469,4923,,,,22,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,42,2024-03-05T12:19:40+00:00,4.189994096756,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SIP,DRINK,Study1,F,32,40,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3482,,,2459,2673,,,,43,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,43,2024-03-05T12:19:45+00:00,5.3523359298706,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,CRACKLE,ELECTION,Study1,U,39,9,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",5009,,,4013,4013,,,,1,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,44,2024-03-05T12:19:52+00:00,6.8799080848694,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,GIVE,STEAK,Study1,U,38,19,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",6392,,,3224,3496,,,,32,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,45,2024-03-05T12:19:56+00:00,4.5080790519714,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,HYGIENE,CLEAN,Study1,F,28,15,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",4135,,,3099,3299,,,,89,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,46,2024-03-05T12:20:03+00:00,6.2660930156708,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SCALP,HEAD,Study1,F,23,16,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",5912,,,5025,5206,,,,76,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,47,2024-03-05T12:20:10+00:00,6.8743138313293,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,HORSE,WHEEL,Study1,M,14,33,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",6604,,,3744,5702,,,,34,1
M20277369_edm,bwralr1t1j,"Mediated JOLs",1,48,2024-03-05T12:20:17+00:00,7.2695500850677,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,ROUGH,SILK,Study1,M,10,11,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",6939,,,5999,6191,,,,44,1
