Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10183761_MLH,hqlos1pefu,"Mediated JOLs",1,1,2024-02-04T08:27:16+00:00,8.051008939743,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,7900,,,-1,-1,,,,,1
w10183761_MLH,hqlos1pefu,"Mediated JOLs",1,2,2024-02-04T08:27:31+00:00,14.95444393158,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,14737,,,-1,-1,,,,,1
w10183761_MLH,hqlos1pefu,"Mediated JOLs",1,3,2024-02-04T08:27:43+00:00,11.781569957733,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,11570,,,-1,-1,,,,,1
w10183761_MLH,hqlos1pefu,"Mediated JOLs",1,4,2024-02-04T08:27:54+00:00,11.531073093414,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,11320,,,-1,-1,,,,,1
w10183761_MLH,hqlos1pefu,"Mediated JOLs",1,5,2024-02-04T08:27:56+00:00,1.9757730960846,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,1804,,,-1,-1,,,,,1
w10183761_MLH,hqlos1pefu,"Mediated JOLs",1,6,2024-02-04T08:28:05+00:00,8.3426079750061,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,MONTH,YEAR,BUFFER3,Buffer,2,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,8112,,,7028,7361,,,,100,1
w10183761_MLH,hqlos1pefu,"Mediated JOLs",1,7,2024-02-04T08:28:16+00:00,11.55966591835,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,OCTOBER,SPOOKY,BUFFER3,Buffer,5,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,11318,,,7253,10619,,,,5,1
w10183761_MLH,hqlos1pefu,"Mediated JOLs",1,8,2024-02-04T08:28:23+00:00,6.7715909481049,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,DAYS,WEAKS,BUFFER3,Buffer,1,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,6538,,,5806,5806,,,,0,1
w10183761_MLH,hqlos1pefu,"Mediated JOLs",1,9,2024-02-04T08:28:31+00:00,8.3606231212616,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,SPRING,MARCH,BUFFER3,Buffer,4,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,8140,,,6641,7456,,,,50,1
w10183761_MLH,hqlos1pefu,"Mediated JOLs",1,10,2024-02-04T08:28:36+00:00,4.8947279453278,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,TOOL,SHED,BUFFER3,Buffer,3,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,4663,,,3597,3947,,,,100,1
