Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
W10175044_se,eyotvnyzgr,"Mediated JOLs",1,1,2024-10-08T02:02:00+00:00,6.3428380489349,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,6099,,,-1,-1,,,,,1
W10175044_se,eyotvnyzgr,"Mediated JOLs",1,2,2024-10-08T02:02:11+00:00,10.467543125153,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,10132,,,-1,-1,,,,,1
W10175044_se,eyotvnyzgr,"Mediated JOLs",1,3,2024-10-08T02:02:22+00:00,11.468647003174,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,11168,,,-1,-1,,,,,1
W10175044_se,eyotvnyzgr,"Mediated JOLs",1,4,2024-10-08T02:02:33+00:00,10.84591293335,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,10463,,,-1,-1,,,,,1
W10175044_se,eyotvnyzgr,"Mediated JOLs",1,5,2024-10-08T02:02:36+00:00,2.7454130649567,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,2154,,,-1,-1,,,,,1
W10175044_se,eyotvnyzgr,"Mediated JOLs",1,6,2024-10-08T02:02:48+00:00,12.671664953232,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SCARE,FRIGHT,BUFFER1,Buffer,4,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,11684,,,10946,11218,,,,80,1
W10175044_se,eyotvnyzgr,"Mediated JOLs",1,7,2024-10-08T02:02:51+00:00,2.9390649795532,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,TREES,GREEN,BUFFER1,Buffer,1,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2676,,,1993,2340,,,,100,1
W10175044_se,eyotvnyzgr,"Mediated JOLs",1,8,2024-10-08T02:03:21+00:00,29.998250961304,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,PITCHER,CATCHER,BUFFER1,Buffer,2,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,29651,,,28568,29370,,,,75,1
W10175044_se,eyotvnyzgr,"Mediated JOLs",1,9,2024-10-08T02:03:28+00:00,7.1243369579315,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,PEANUT,BUTTER,BUFFER1,Buffer,3,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,6772,,,6089,6396,,,,100,1
W10175044_se,eyotvnyzgr,"Mediated JOLs",1,10,2024-10-08T02:03:33+00:00,4.1638400554657,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SPACE,JAM,BUFFER1,Buffer,5,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3866,,,3161,3512,,,,100,1
