Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10094363_wcd,uewihj7vt4,"Mediated JOLs",1,1,2024-08-28T21:55:02+00:00,5.9531140327454,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,5831,,,-1,-1,,,,,1
w10094363_wcd,uewihj7vt4,"Mediated JOLs",1,2,2024-08-28T21:55:13+00:00,10.604022979736,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,10447,,,-1,-1,,,,,1
w10094363_wcd,uewihj7vt4,"Mediated JOLs",1,3,2024-08-28T21:55:24+00:00,10.623428106308,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,10477,,,-1,-1,,,,,1
w10094363_wcd,uewihj7vt4,"Mediated JOLs",1,4,2024-08-28T21:55:34+00:00,10.80086684227,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,10655,,,-1,-1,,,,,1
w10094363_wcd,uewihj7vt4,"Mediated JOLs",1,5,2024-08-28T21:55:36+00:00,1.0324020385742,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,869,,,-1,-1,,,,,1
w10094363_wcd,uewihj7vt4,"Mediated JOLs",1,6,2024-08-28T21:55:40+00:00,4.0013861656189,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,SPRING,MARCH,BUFFER3,Buffer,4,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3793,,,3259,3480,,,,75,1
w10094363_wcd,uewihj7vt4,"Mediated JOLs",1,7,2024-08-28T21:55:42+00:00,2.3736028671265,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,DAYS,WEAKS,BUFFER3,Buffer,1,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2217,,,1838,1980,,,,50,1
w10094363_wcd,uewihj7vt4,"Mediated JOLs",1,8,2024-08-28T21:55:48+00:00,6.1799521446228,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,TOOL,SHED,BUFFER3,Buffer,3,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,6032,,,1963,5818,,,,75,1
w10094363_wcd,uewihj7vt4,"Mediated JOLs",1,9,2024-08-28T21:55:52+00:00,4.0399267673492,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,MONTH,YEAR,BUFFER3,Buffer,2,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3887,,,3540,3630,,,,90,1
w10094363_wcd,uewihj7vt4,"Mediated JOLs",1,10,2024-08-28T21:55:55+00:00,3.0241532325745,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,OCTOBER,SPOOKY,BUFFER3,Buffer,5,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2876,,,1504,2595,,,,70,1
