Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
M20331829,45e9xcnzb2,"Mediated JOLs",1,1,2024-04-24T15:15:58+00:00,5.7865269184113,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,5743,,,-1,-1,,,,,1
M20331829,45e9xcnzb2,"Mediated JOLs",1,2,2024-04-24T15:16:09+00:00,10.659913063049,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,10586,,,-1,-1,,,,,1
M20331829,45e9xcnzb2,"Mediated JOLs",1,3,2024-04-24T15:17:48+00:00,98.64572095871,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,98319,,,-1,-1,,,,,1
M20331829,45e9xcnzb2,"Mediated JOLs",1,4,2024-04-24T15:18:01+00:00,13.45435500145,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,13352,,,-1,-1,,,,,1
M20331829,45e9xcnzb2,"Mediated JOLs",1,5,2024-04-24T15:18:19+00:00,18.325555086136,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,18224,,,-1,-1,,,,,1
M20331829,45e9xcnzb2,"Mediated JOLs",1,6,2024-04-24T15:18:32+00:00,12.670376062393,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,TOOL,SHED,BUFFER3,Buffer,3,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,12596,,,12193,12194,,,,0,1
M20331829,45e9xcnzb2,"Mediated JOLs",1,7,2024-04-24T15:18:40+00:00,7.8890368938446,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,MONTH,YEAR,BUFFER3,Buffer,2,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,7809,,,7129,7230,,,,50,1
M20331829,45e9xcnzb2,"Mediated JOLs",1,8,2024-04-24T15:18:43+00:00,3.0776340961456,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,OCTOBER,SPOOKY,BUFFER3,Buffer,5,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3004,,,2351,2351,,,,0,1
M20331829,45e9xcnzb2,"Mediated JOLs",1,9,2024-04-24T15:19:02+00:00,18.833061933517,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,SPRING,MARCH,BUFFER3,Buffer,4,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,18753,,,18334,18334,,,,0,1
M20331829,45e9xcnzb2,"Mediated JOLs",1,10,2024-04-24T15:19:06+00:00,4.5423018932343,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,DAYS,WEAKS,BUFFER3,Buffer,1,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,4471,,,3861,3976,,,,10,1
M20331829,45e9xcnzb2,"Mediated JOLs",1,11,2024-04-24T15:19:09+00:00,2.2140622138977,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,CHOP,CUT,Study2,F,22,43,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2136,,,1443,1561,,,,30,1
M20331829,45e9xcnzb2,"Mediated JOLs",1,12,2024-04-24T15:19:11+00:00,2.1013078689575,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,CHILL,COLD,Study2,F,32,23,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2029,,,1537,1667,,,,30,1
M20331829,45e9xcnzb2,"Mediated JOLs",1,13,2024-04-24T15:19:12+00:00,1.4109389781952,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,REALITY,ISLAND,Study2,M,9,25,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",1341,,,845,945,,,,40,1
M20331829,45e9xcnzb2,"Mediated JOLs",1,14,2024-04-24T15:19:15+00:00,3.2298099994659,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,DEATH,BUSINESS,Study2,U,44,41,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3157,,,1817,2556,,,,100,1
M20331829,45e9xcnzb2,"Mediated JOLs",1,15,2024-04-24T15:19:17+00:00,2.033273935318,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,MIRROR,CHILDREN,Study2,U,49,37,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",1960,,,1130,1427,,,,100,1
M20331829,45e9xcnzb2,"Mediated JOLs",1,16,2024-04-24T15:19:20+00:00,2.3718271255493,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,LEASE,TOIL,Study2,U,46,39,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2299,,,1910,1910,,,,0,1
M20331829,45e9xcnzb2,"Mediated JOLs",1,17,2024-04-24T15:19:22+00:00,2.3053488731384,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,BENCH,HORN,Study2,U,43,16,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2225,,,1669,1833,,,,20,1
M20331829,45e9xcnzb2,"Mediated JOLs",1,18,2024-04-24T15:19:24+00:00,1.6443901062012,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,DIETARY,SACK,Study2,U,42,31,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",1569,,,1110,1110,,,,0,1
