Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10154681_APL,qgb8t4naxf,"Mediated JOLs",1,1,2024-10-27T20:53:56+00:00,51.038024187088,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,50855,,,-1,-1,,,,,1
w10154681_APL,qgb8t4naxf,"Mediated JOLs",1,2,2024-10-27T20:54:14+00:00,17.456477880478,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,17314,,,-1,-1,,,,,1
w10154681_APL,qgb8t4naxf,"Mediated JOLs",1,3,2024-10-27T20:54:30+00:00,16.515010118484,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,16363,,,-1,-1,,,,,1
w10154681_APL,qgb8t4naxf,"Mediated JOLs",1,4,2024-10-27T20:54:43+00:00,13.089921951294,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,12940,,,-1,-1,,,,,1
w10154681_APL,qgb8t4naxf,"Mediated JOLs",1,5,2024-10-27T20:54:46+00:00,2.4865720272064,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,2339,,,-1,-1,,,,,1
w10154681_APL,qgb8t4naxf,"Mediated JOLs",1,6,2024-10-27T20:54:52+00:00,6.7763018608093,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SPACE,JAM,BUFFER1,Buffer,5,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,6639,,,5414,5493,,,,80,1
w10154681_APL,qgb8t4naxf,"Mediated JOLs",1,7,2024-10-27T20:54:58+00:00,5.2558200359344,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,PITCHER,CATCHER,BUFFER1,Buffer,2,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,5075,,,4453,4503,,,,90,1
w10154681_APL,qgb8t4naxf,"Mediated JOLs",1,8,2024-10-27T20:55:01+00:00,3.4774601459503,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,PEANUT,BUTTER,BUFFER1,Buffer,3,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3322,,,1702,1918,,,,100,1
w10154681_APL,qgb8t4naxf,"Mediated JOLs",1,9,2024-10-27T20:55:03+00:00,2.3264458179474,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SCARE,FRIGHT,BUFFER1,Buffer,4,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2182,,,1570,1861,,,,100,1
w10154681_APL,qgb8t4naxf,"Mediated JOLs",1,10,2024-10-27T20:55:05+00:00,1.9531710147858,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,TREES,GREEN,BUFFER1,Buffer,1,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,1813,,,1193,1490,,,,100,1
