Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
664770af0e8f4c4cc2b8a6e8,jcwpo6kyub,"Mediated JOLs",1,1,2025-10-21T01:19:18+00:00,0.00033783912658691,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. We are interested in how related you perceive the words in each pair to be.",Initial_Instruct,Instruct1,21135,,,-1,-1,,,,,0.63
664770af0e8f4c4cc2b8a6e8,jcwpo6kyub,"Mediated JOLs",1,2,2025-10-21T01:19:42+00:00,24.04302406311,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,,,,,,0,Instruct,-,5,"Specifically, you will be asked to rate how often the words in each pair are used together. Assume 100 college students from around the nation gave responses to each CUE (first) word. How many of these 100 students do you think would have given the RESPONSE (second) word?",,Instruct13,23837,,,-1,-1,,,,,0.991
664770af0e8f4c4cc2b8a6e8,jcwpo6kyub,"Mediated JOLs",1,3,2025-10-21T01:20:09+00:00,26.569269895554,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,,,,,,0,Instruct,-,5,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that DOG is not a commonly given response to the word CAT, while a score of 100 indicates that DOG would be a common response.",,Instruct14,26376,,,-1,-1,,,,,1
664770af0e8f4c4cc2b8a6e8,jcwpo6kyub,"Mediated JOLs",1,4,2025-10-21T01:20:14+00:00,5.4137032032013,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,,,,,,0,Instruct,-,5,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, you will press Enter to advance to the next pair.",,Instruct15,5280,,,-1,-1,,,,,0.962
664770af0e8f4c4cc2b8a6e8,jcwpo6kyub,"Mediated JOLs",1,5,2025-10-21T01:20:16+00:00,1.2186269760132,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,,,,,,0,Instruct,User,-,"Before starting the study, you will complete a short practice session to get familiar with the judgment task. Press Enter when you are ready to begin.",,Instruct16,1073,,,-1,-1,,,,,1
664770af0e8f4c4cc2b8a6e8,jcwpo6kyub,"Mediated JOLs",1,6,2025-10-21T01:20:24+00:00,8.1161789894104,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,SCARE,FRIGHT,Practice,Practice,4,3,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,Practice,7885,,,7494,7580,,,,90,1
664770af0e8f4c4cc2b8a6e8,jcwpo6kyub,"Mediated JOLs",1,7,2025-10-21T01:20:27+00:00,3.099406003952,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,TREES,GREEN,Practice,Practice,1,5,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,Practice,2976,,,2641,2723,,,,75,1
664770af0e8f4c4cc2b8a6e8,jcwpo6kyub,"Mediated JOLs",1,8,2025-10-21T01:20:30+00:00,3.2406389713287,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,PITCHER,CATCHER,Practice,Practice,2,6,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,Practice,3014,,,2547,2758,,,,95,1
664770af0e8f4c4cc2b8a6e8,jcwpo6kyub,"Mediated JOLs",1,9,2025-10-21T01:20:33+00:00,3.2979340553284,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,PEANUT,BUTTER,Practice,Practice,3,4,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,Practice,2944,,,2486,2703,,,,95,1
664770af0e8f4c4cc2b8a6e8,jcwpo6kyub,"Mediated JOLs",1,10,2025-10-21T01:20:40+00:00,6.1543729305267,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,SPACE,JAM,Practice,Practice,5,2,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,Practice,5877,,,3861,4127,,,,85,1
